"","Rep_2020_Pres","Dem_2020_Pres","Total_2020_Pres","District"
"291",90393,233178,326869,"NY-16"
"292",171551,210405,386991,"NY-17"
"293",163049,193315,362489,"NY-18"
"294",176058,193520,377927,"NY-19"
"295",151955,225887,386724,"NY-20"
"296",201182,156080,364858,"NY-21"
"297",168086,195811,372245,"NY-22"
"298",231464,162337,402001,"NY-23"
"299",215446,150953,375413,"NY-24"
"300",151739,228228,389741,"NY-25"
"301",133075,216284,355878,"NY-26"
"302",185306,220132,411740,"OH-01"
"303",272334,100789,378196,"OH-02"
"304",104532,271664,381894,"OH-03"
"305",268715,125725,400745,"OH-04"
"306",248386,142101,396653,"OH-05"
"307",254092,139482,399020,"OH-06"
"308",232256,192581,429985,"OH-07"
"309",241657,153370,400857,"OH-08"
"310",197468,186081,390205,"OH-09"
"311",199444,185655,391734,"OH-10"
"312",74107,280544,358409,"OH-11"
"313",251597,131542,389068,"OH-12"
"314",194511,205962,406209,"OH-13"
"315",234502,172804,412858,"OH-14"
"316",195927,170733,372807,"OH-15"
"317",190281,121871,320366,"OK-01"
"318",243615,72000,321517,"OK-02"
"319",196075,76638,279059,"OK-03"
"320",200483,104031,312061,"OK-04"
"321",189826,129350,327696,"OK-05"
"322",114116,268304,395512,"OR-01"
"323",231497,138802,381197,"OR-02"
"324",97583,280723,389868,"OR-03"
"325",172533,224384,410411,"OR-04"
"326",188045,225528,427100,"OR-05"
"327",153928,202149,368952,"OR-06"
"328",219860,241494,466261,"PA-01"
"329",88108,221337,311731,"PA-02"
"330",36689,357631,396744,"PA-03"
"331",182672,269148,456831,"PA-04"
"332",140495,276144,420263,"PA-05"
"333",174183,235146,414314,"PA-06"
"334",194646,197109,396479,"PA-07"
"335",194292,183201,381375,"PA-08"
"336",261286,119974,386882,"PA-09"
"337",205145,188632,399568,"PA-10"
"338",237711,153324,397024,"PA-11"
"339",169584,255298,429639,"PA-12"
"340",288138,107202,400151,"PA-13"
"341",268716,138892,412059,"PA-14"
"342",263047,119496,387842,"PA-15"
"343",242664,158729,406694,"PA-16"
"344",211206,237718,454492,"PA-17"
"345",83224,152965,240941,"RI-01"
"346",116698,154521,276816,"RI-02"
"347",204859,171778,383012,"SC-01"
"348",199792,160980,366484,"SC-02"
"349",236993,106466,348371,"SC-03"
"350",202526,138166,347051,"SC-04"
"351",213494,147082,365470,"SC-05"
"352",111767,219791,336372,"SC-06"
"353",215672,147278,366569,"SC-07"
"354",256562,74137,336345,"TN-01"
"355",226786,122697,356252,"TN-02"
"356",226465,115367,348155,"TN-03"
"357",220500,98034,324528,"TN-04"
"358",198868,157650,364786,"TN-05"
"359",221543,120085,348142,"TN-06"
"360",185391,135688,328624,"TN-07"
"361",244592,110374,360124,"TN-08"
"362",71768,209679,286033,"TN-09"
"363",235937,86352,326088,"TX-01"
"364",194821,121726,321071,"TX-02"
"365",204527,152279,363437,"TX-03"
"366",214657,125278,345022,"TX-04"
"367",180739,113847,298295,"TX-05"
"368",172918,105413,282193,"TX-06"
"369",96316,179451,279639,"TX-07"
"370",196684,111748,312460,"TX-08"
"371",58370,195474,256721,"TX-09"
"372",198883,135000,340242,"TX-10"
"373",186136,78034,268222,"TX-11"
"374",189255,130336,325041,"TX-12"
"375",215375,79204,299512,"TX-13"
"376",199664,110058,314415,"TX-14"
"377",115716,109181,227207,"TX-15"
"378",77014,163541,244296,"TX-16"
"379",182909,114760,302545,"TX-17"
"380",60358,177328,240937,"TX-18"
"381",202442,73170,279814,"TX-19"
"382",85593,172370,262321,"TX-20"
"383",246182,164129,416692,"TX-21"
"384",191891,138153,335107,"TX-22"
"385",155638,134512,294015,"TX-23"
"386",216479,168211,391004,"TX-24"
"387",216142,112341,333134,"TX-25"
"388",211707,144687,361817,"TX-26"
"389",174232,109703,288126,"TX-27"
"390",114202,131746,249354,"TX-28"
"391",54252,118432,174746,"TX-29"
"392",58710,217220,279361,"TX-30"
"393",202403,133173,342778,"TX-31"
"394",86016,172783,263294,"TX-32"
"395",45679,139279,187627,"TX-33"
"396",85224,116921,204313,"TX-34"
"397",69394,187920,262625,"TX-35"
"398",198523,102271,304656,"TX-36"
"399",86880,289357,384743,"TX-37"
"400",208700,143891,357545,"TX-38"
"401",216352,142884,379806,"UT-01"
"402",205178,143182,366423,"UT-02"
"403",225133,148960,396377,"UT-03"
"404",218403,125229,363932,"UT-04"
"405",241626,210907,461129,"VA-01"
"406",193849,202122,404141,"VA-02"
"407",101373,230248,338599,"VA-03"
"408",123594,264454,394395,"VA-04"
"409",231760,195887,435323,"VA-05"
"410",239666,151507,398936,"VA-06"
"411",178344,204622,390486,"VA-07"
"412",83638,303882,396010,"VA-08"
"413",281828,113688,401339,"VA-09"
"414",165175,239474,412830,"VA-10"
"415",121577,296777,427336,"VA-11"
"416",130736,250883,395248,"WA-01"
"417",162799,263078,440519,"WA-02"
"418",213882,196207,423505,"WA-03"
